Latitude,Longitude,Year,Month,Day,Season,Line,Station,dvChla,hexfucox,fucox,occurrence,mhw_onset,mhw_end,mhw_dur,int_max,int_mean,int_var,int_cum,mhw_long,mhw_lat,datetime,anoSST,rlduration
34.45,-120.5239,2014,7,20,2,80,51,NaN,-0.790646384779718,-0.418085916490257,1,20140706,20140724,19,3.945871613,2.84122146,0.753300144,53.98320774,-120.625,34.375,20-Jul-2014,2.80583185343203,15
34.45,-120.5239,2014,11,22,3,80,51,NaN,-0.334449157846062,-0.512713162182415,1,20141104,20150327,144,3.210953741,2.147588819,0.398151944,309.2527899,-120.625,34.375,22-Nov-2014,1.8713650822691,19
34.45,-120.5239,2015,7,19,2,80,51,-0.00403135699204937,-0.179246367197612,-0.582239469725988,1,20150717,20150727,11,3.755871617,3.176825442,0.558516394,34.94507986,-120.625,34.375,19-Jul-2015,2.49889387975406,3
34.31667,-120.80245,2014,11,19,3,80,55,NaN,-0.506738049191688,-0.595594748483755,1,20141104,20141230,57,2.972549787,2.150492781,0.396501423,122.5780885,-120.875,34.375,19-Nov-2014,1.87214382965924,16
34.31667,-120.80245,2015,1,27,4,80,55,0.20463323743545,-0.446985984449777,-0.975136513288123,1,20150103,20150327,84,2.903016431,2.014374204,0.382018458,169.2074332,-120.875,34.375,27-Jan-2015,2.43833498414347,25
34.31667,-120.80245,2015,7,22,2,80,55,-0.357349079326393,-0.206933697588281,-1.09792371286855,1,20150717,20150727,11,3.752579095,3.126539919,0.479903303,34.39193911,-120.875,34.375,22-Jul-2015,2.60333479864772,6
34.15,-121.15,2011,10,29,3,80,60,0.00991144199293092,-0.163882637869105,-0.881813215705353,1,20111027,20111031,5,1.840225032,1.715695856,0.072654169,8.57847928,-121.125,34.125,29-Oct-2011,1.57431918063129,3
34.15,-121.15,2014,11,19,3,80,60,NaN,-0.457580271149484,-0.0544460670255,1,20141114,20141122,9,1.694661252,1.560564155,0.101506901,14.0450774,-121.125,34.125,19-Nov-2014,1.68316401410836,6
33.81667,-121.84304,2014,7,18,2,80,70,NaN,0.296330651033034,0.118993033102837,1,20140717,20140724,8,3.562254319,2.459306672,0.777548632,19.67445337,-121.875,33.875,18-Jul-2014,2.23646331189576,2
33.81667,-121.84304,2020,10,21,3,80,70,0.0467777830561384,-0.397797082294896,-0.33306821076381,1,20201009,20201024,16,2.296543204,1.817034325,0.249299994,29.0725492,-121.875,33.875,21-Oct-2020,1.8120035120635,13
33.48333,-122.53335,2005,7,14,2,80,80,0.0599603867689618,-0.375104454752931,-0.138436719219575,1,20050713,20050717,5,1.472542489,1.344828709,0.097992955,6.724143545,-122.625,33.375,14-Jul-2005,1.3856980861748,2
33.15,-123.22099,2004,7,25,2,80,90,0.149472228425674,0.504053862847735,0.46271224778378,1,20040718,20040728,11,1.76816345,1.478731305,0.187087459,16.26604436,-123.125,33.125,25-Jul-2004,1.73962689274791,8
33.15,-123.22099,2014,11,20,3,80,90,-0.0393739258926926,-0.157028786758456,-0.0217452108726139,1,20141110,20150331,142,3.395082036,1.909895884,0.55014401,271.2052156,-123.125,33.125,20-Nov-2014,1.74671675387623,11
33.15,-123.22099,2016,4,15,1,80,90,-0.0209042717270647,-0.166736794536028,-0.218789599317638,1,20160404,20160424,21,3.010863569,1.900441621,0.539903865,39.90927403,-123.125,33.125,15-Apr-2016,1.94246630339939,12
33.15,-123.22099,2019,11,16,3,80,90,0.042296120558627,-0.585845361903564,-0.468903242214833,1,20191114,20191120,7,1.372165658,1.230175402,0.090600061,8.611227813,-123.125,33.125,16-Nov-2019,1.60941136896481,3
32.81667,-123.90599,2004,1,18,4,80,100,0.191578757555796,-0.380039945992841,-0.371148399316632,1,20040113,20040119,7,1.542028715,1.437910645,0.103871278,10.06537451,-123.875,32.875,18-Jan-2004,1.71746472430845,6
32.81667,-123.90599,2016,4,14,1,80,100,-0.30268063292049,-0.450450726860581,-0.285470146224693,1,20160409,20160424,16,2.449796133,1.783091969,0.44803631,28.5294715,-123.875,32.875,14-Apr-2016,1.92059481429665,6
32.81667,-123.90599,2019,11,16,3,80,100,0.0316018147714967,-0.234086264926091,-0.141582789268051,1,20191114,20191119,6,1.535021227,1.433822793,0.073537083,8.602936758,-123.875,32.875,16-Nov-2019,1.73825114587685,3
32.81667,-123.90599,2020,10,20,3,80,100,-0.101937093598721,-0.14514518158931,0.113689715835255,1,20201016,20201021,6,1.442913457,1.401768053,0.050128125,8.410608316,-123.875,32.875,20-Oct-2020,1.6706720594832,5
34.2749,-120.02524,2014,11,22,3,81.8,46.9,NaN,-0.413513872646641,-0.428022068038392,1,20141104,20150330,147,3.620340095,2.301585697,0.434340683,338.3330975,-120.125,34.375,22-Nov-2014,1.78226828243479,19
34.2749,-120.02524,2015,7,19,2,81.8,46.9,NaN,-0.223527162874578,-0.279320942830381,1,20150719,20150726,8,3.173211806,2.986482979,0.18510017,23.89186384,-120.125,34.375,19-Jul-2015,2.1638596070602,1
34.2749,-120.02524,2016,4,12,1,81.8,46.9,NaN,-0.605917916661451,-0.314628897867881,1,20160408,20160412,5,1.656129728,1.497271667,0.11552337,7.486358337,-120.125,34.375,12-Apr-2016,1.59943411767347,5
34.2749,-120.02524,2021,5,13,1,81.8,46.9,NaN,0.645974847790474,-0.165121381931557,1,20210512,20210517,6,2.362654639,1.962639863,0.270860431,11.77583918,-120.125,34.375,13-May-2021,2.19718703165037,2
34.17842,-119.50851,2003,7,26,2,83.3,42,0.360219156389093,-0.0339203692271187,-0.0113351874118793,1,20030719,20030727,9,2.697456685,2.290758258,0.270358709,20.61682432,-119.625,34.125,26-Jul-2003,1.85056153382107,8
33.82286,-118.62873,2003,7,23,2,86.7,35,0.287650423879087,0.379561305683697,0.936972449278581,1,20030718,20030723,6,2.907362105,2.155692645,0.453140589,12.93415587,-118.625,33.875,23-Jul-2003,1.43878162248782,6
33.15619,-120.00678,2004,1,13,4,86.7,55,NaN,-0.761747763379592,0.223265500176322,1,20040109,20040115,7,1.531258362,1.428139756,0.10466873,9.996978295,-120.125,33.125,13-Jan-2004,1.60380183419876,5
32.98953,-120.34964,2004,1,13,4,86.7,60,0.287214860956049,-0.603015053086594,-0.832865938478216,1,20040105,20040117,13,1.832496267,1.46549357,0.243306016,19.05141641,-120.375,32.875,13-Jan-2004,1.89275913010565,9
31.98953,-122.39323,2013,1,19,4,86.7,90,0.225821446484007,-0.498072362336274,-0.741196053664884,1,20130119,20130123,5,1.38071238,1.299744834,0.078114637,6.498724171,-122.375,31.875,19-Jan-2013,1.4891327860384,1
33.49462,-117.74741,2007,7,5,2,90,27.7,NaN,0.139371385910162,-0.0289591560524676,1,20070703,20070709,7,2.419522673,2.104165747,0.290659039,14.72916023,-117.625,33.375,05-Jul-2007,1.96335937024941,3
33.48462,-117.76808,2007,7,4,2,90,28,-0.968455105029935,0.126921827492337,-0.0988224979071517,1,20070704,20070709,6,1.965845997,1.793819852,0.174265647,10.76291911,-117.875,33.375,04-Jul-2007,1.52573393598028,1
33.48462,-117.76808,2014,7,12,2,90,28,NaN,-0.473448622629059,-0.36049044637775,1,20140704,20140712,9,2.704182491,2.362089716,0.361024867,21.25880744,-117.875,33.375,12-Jul-2014,1.64318644856642,9
33.48462,-117.76808,2016,11,12,3,90,28,-0.108789875857175,-0.393315551051292,-0.259263371321872,1,20161110,20161119,10,1.916232362,1.697556194,0.134195935,16.97556194,-117.875,33.375,12-Nov-2016,1.62567709197338,3
33.48462,-117.76808,2020,10,17,3,90,28,0.493270115470787,0.332501422463542,0.350483448672382,1,20201011,20201024,14,2.432988949,1.946883649,0.35139272,27.25637109,-117.875,33.375,17-Oct-2020,1.95351293648933,7
33.41795,-117.90582,2014,7,12,2,90,30,-0.0699435966766466,-0.684694249536521,-0.480355726841528,1,20140704,20140712,9,2.704182491,2.362089716,0.361024867,21.25880744,-117.875,33.375,12-Jul-2014,1.64318644856642,9
33.41795,-117.90582,2016,11,12,3,90,30,0.178459059162785,-0.265130108461664,0.00276083595473509,1,20161110,20161119,10,1.916232362,1.697556194,0.134195935,16.97556194,-117.875,33.375,12-Nov-2016,1.62567709197338,3
33.41795,-117.90582,2020,10,17,3,90,30,0.0271913838321354,0.223650758802992,0.345183516776941,1,20201011,20201024,14,2.432988949,1.946883649,0.35139272,27.25637109,-117.875,33.375,17-Oct-2020,1.95351293648933,7
33.25128,-118.24971,2016,11,12,3,90,35,-0.279017100329081,-0.155620972327136,0.486074984750047,1,20161110,20161119,10,1.989389985,1.674048716,0.185276662,16.74048716,-118.125,33.375,12-Nov-2016,1.60972623547755,3
33.25128,-118.24971,2020,10,16,3,90,35,0.0332939057445893,-0.052550650614261,0.0437158362895966,1,20201011,20201024,14,2.397395841,1.962431617,0.300205098,27.47404264,-118.125,33.375,16-Oct-2020,1.90992679820111,6
33.18462,-118.38708,2016,11,12,3,90,37,0.353055691554459,-0.124359501794139,-0.099153549205655,1,20161109,20161116,8,1.977362126,1.76656301,0.148904921,14.13250408,-118.375,33.125,12-Nov-2016,1.65926497575394,4
32.91795,-118.93551,2016,11,12,3,90,45,-0.128694042207633,-0.384463229211014,0.0151505241032119,1,20161107,20161116,10,2.231565933,1.969288079,0.187830319,19.69288079,-118.875,32.875,12-Nov-2016,1.78740868733829,6
32.65128,-119.48228,2016,4,6,1,90,53,0.0990216694717945,-0.851166467291674,-1.1143559235752,1,20160405,20160424,20,2.158655377,1.477266243,0.341480167,29.54532485,-119.375,32.625,06-Apr-2016,1.50936311820634,2
32.65128,-119.48228,2016,11,11,3,90,53,-0.0854871938069994,-0.610135775925726,-0.416443396474309,1,20161104,20161116,13,2.624617977,2.116810747,0.315444015,27.51853971,-119.375,32.625,11-Nov-2016,2.22025314608616,8
32.65128,-119.48228,2019,4,7,1,90,53,-0.219737093152618,-0.464706276303066,-0.979657349677747,1,20190401,20190407,7,1.516975039,1.230471171,0.157974397,8.613298195,-119.375,32.625,07-Apr-2019,1.36985528632273,7
32.41795,-119.95935,2016,11,11,3,90,60,-0.0341788380601624,-0.328912803554558,-0.103775911927908,1,20161103,20161116,14,2.604631907,2.092266658,0.388186429,29.29173322,-119.875,32.375,11-Nov-2016,2.46171012051244,9
32.08462,-120.63872,2015,7,14,2,90,70,0.0780944525893641,-0.62768429272892,-0.768786854123741,1,20150702,20151116,138,4.340413393,2.34823146,0.574372642,324.0559414,-120.625,32.125,14-Jul-2015,2.5638509965802,13
32.08462,-120.63872,2016,4,6,1,90,70,0.161609008721217,-0.505833921817718,-0.366186046928213,1,20160404,20160424,21,2.805690553,1.604398407,0.500023736,33.69236655,-120.625,32.125,06-Apr-2016,1.20558254191144,3
32.08462,-120.63872,2018,2,3,4,90,70,-0.26018277234776,-0.804438066343878,-0.897795046095522,1,20180203,20180210,8,1.527041022,1.396207735,0.104008513,11.16966188,-120.625,32.125,03-Feb-2018,1.37780701434872,1
31.75128,-121.31559,2015,7,14,2,90,80,-0.15463828916324,-0.394575244367594,-0.646075540680933,1,20150702,20151116,138,4.157565889,2.141423345,0.525405334,295.5164215,-121.375,31.875,14-Jul-2015,2.98704924931277,13
31.41795,-121.99001,2015,7,14,2,90,90,-0.350649714901458,-0.556461976182259,-0.406172818235393,1,20150701,20150823,54,4.118286565,2.49545039,0.595077538,134.754321,-121.875,31.375,14-Jul-2015,3.43817561516968,14
31.08462,-122.66202,2014,7,10,2,90,100,-0.0748137323233486,-0.364343539168086,-0.277754638525105,1,20140709,20140714,6,1.537410523,1.438715388,0.11389559,8.632292329,-122.625,31.125,10-Jul-2014,1.45678050595008,2
31.08462,-122.66202,2014,11,12,3,90,100,-0.0840712270426558,-0.0213258532814558,-0.0450202850468875,1,20141104,20150321,138,2.89172061,2.082232886,0.436868185,287.3481383,-122.625,31.125,12-Nov-2014,1.59106566508615,9
31.08462,-122.66202,2015,4,8,1,90,100,0.0537519668981026,-0.274808025680332,-0.130049148308112,1,20150406,20150412,7,1.298862141,1.239580303,0.052321855,8.677062123,-122.625,31.125,08-Apr-2015,1.53789713328534,3
30.75128,-123.33164,2015,7,13,2,90,110,-0.0536813466156838,-0.0157516727643408,-0.0478647541724917,1,20150701,20150719,19,4.105071756,2.510370024,0.731314112,47.69703046,-123.375,30.875,13-Jul-2015,3.58289775439428,13
30.41795,-123.99893,2014,7,9,2,90,120,-0.211524064799348,-0.226037301356651,0.13074528651497,1,20140708,20140712,5,1.61384014,1.329734281,0.184792484,6.648671406,-123.875,30.375,09-Jul-2014,1.2836780607292,2
30.41795,-123.99893,2015,7,13,2,90,120,-0.328029633870786,-0.364339999522932,-0.568224717821049,1,20150701,20150719,19,3.298186876,2.406254615,0.491340619,45.71883769,-123.875,30.375,13-Jul-2015,3.31529389455188,13
30.41795,-123.99893,2017,8,4,2,90,120,-0.119753691443703,-0.226037301356651,-0.0911034631013861,1,20170801,20170806,6,2.232356988,1.801561788,0.289052336,10.80937073,-123.875,30.375,04-Aug-2017,2.20805136507154,4
30.41795,-123.99893,2018,4,8,1,90,120,-0.293908194015682,-0.640995839387827,-0.57881131412695,1,20180406,20180410,5,1.345118738,1.217442495,0.086783745,6.087212474,-123.875,30.375,08-Apr-2018,1.6028716040832,3
